unique_id,cover,canopy,shrub,temp
RM-4-2,84.72,42.75,118,5
RM-4-6,95.83,40,94.5,5
RM-4-8,44.44,95.5,16,5
RM-4-9,98.61,66.5,103.5,5
RM-19-4,87.5,37.5,119.5,4
RM-19-6,87.5,7.75,100,4
RM-19-9,68.06,49.25,83,4
RM-4-1,66.67,55.25,63,4
RM-4-4,63.89,50,27,4
RM-8-4,83.33,0,37.5,4
RM-8-5,65.28,89.5,93.5,4
RM-8-7,86.11,95.5,38,4
RM-8-9,48.61,91.25,55.5,4
RM-14-1,42.59,40.25,11,1
RM-14-2,93.06,93.25,39,1
RM-14-3,95.83,84.75,66.5,1
RM-14-4,83.33,79.5,55.5,1
RM-30-1,55.56,9.5,3,1
RM-30-8,93.06,8.5,50.5,1
RM-30-9,84.72,74.75,98.5,1
RM-6-1,88.89,29.25,140,1
RM-6-7,88.89,8.5,51,1
RM-6-8,95.83,8.5,176,1
RM-6-9,75,92.75,51.5,1
RM-14-5,88.89,90.25,52,0
RM-14-7,73.61,93,18,0
RM-14-8,95.83,81.25,27.5,0
RM-14-9,75,93.5,31,0
RM-16-1,68.06,49.5,18.5,0
RM-16-6,88.89,79,30,0
RM-16-7,71.23,24,68,0
RM-16-9,72.22,24.75,33.5,0
RM-6-3,77.78,54.5,126,-2
RM-6-5,84.72,87,77.5,-2
RM-6-6,69.44,91.25,0,-2
RM-8-1,90.28,83.25,124.5,-2
RM-8-8,90.28,84.5,66.5,-2